								
					Pilih Cluster>>		 -   	
Brand	Sub Brand AS	Brand Group AS	Description	Barcode (Pieces)	Harga PTT/Sebelum PPN	Kuantiti per Karton/Dus	Harga PPN	Harga Jual ke Konsumen yg Disarankan
								
Nivea	Nivea Deodorant	Deo Female	NIVEA Extra Bright Miracle Sweet Deodorant Spray 150ml	8850029040189	 50.450 	24	 56.000 	 70.000 
Nivea	Nivea Deodorant	Deo Female	NIVEA Extra Bright Velvet Romance Deodorant Spray 150ml	8850029040196	 50.450 	24	 56.000 	 70.000 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Black & White Invisible Original Deodorant Spray 150ml	8999777004972	 39.540 	12	 43.889 	 51.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Black & White Invisible Fresh Deodorant Spray 150ml	8999777010942	 39.540 	12	 43.889 	 51.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Cool Kick Cool Blue Deodorant Spray 150ml	8999777004910	 43.540 	12	 48.329 	 57.000 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Deep Deodorant Spray 150ml	8999777010676	 43.540 	12	 48.329 	 57.000 
Nivea	Nivea Body	Body Essential	NIVEA Intensive Moisture Body Lotion 100ml	8999777000004	 15.650 	48	 17.372 	 19.500 
Nivea	Nivea Body	Body Essential	NIVEA Intensive Moisture Body Lotion 190ml	8999777000011	 30.100 	24	 33.411 	 40.500 
Nivea	Nivea Body	Body Essential	NIVEA Intensive Moisture Body Lotion 380ml	4005808232512	 58.920 	12	 65.401 	 78.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Instant Glow SPF15 Body Lotion 190ml	8999777008543	 25.550 	24	 28.361 	 33.999 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Radiant & Smooth Body Lotion 100ml	8999777000042	 15.230 	48	 16.905 	 19.499 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Radiant & Smooth Body Lotion 190ml	8999777000059	 25.680 	24	 28.505 	 34.000 
Nivea	Nivea Body	Body Beauty	NIVEA Extra White Radiant & Smooth Body Lotion 400ml	8999777000271	 53.350 	12	 59.219 	 68.200 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Repair & Protect SPF15 Body Lotion 100ml	8999777000165	 16.020 	48	 17.782 	 20.501 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Repair & Protect SPF15 Body Lotion 190ml	8999777000318	 25.550 	24	 28.361 	 33.999 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Repair & Protect SPF15 Body Lotion 380ml	4005808668069	 55.170 	12	 61.239 	 70.401 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Repair & Protect SPF30 Body Lotion 525ml	8999777018863	 136.270 	12	 151.260 	 183.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Firm & Smooth Body Lotion 190ml	8999777009564	 25.170 	24	 27.939 	 34.000 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Night Nourish SPF25 Body Lotion 200ml	8999777000110	 33.260 	24	 36.919 	 42.550 
Nivea	Nivea Body	Body Beauty	NIVEA Daily Protection Sun Lotion SPF33 100ml	8999777005351	 32.470 	48	 36.042 	 41.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright C & E Vitamin Lotion 180ml	8999777001292	 41.620 	24	 46.198 	 55.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright C & E Vitamin Lotion 320ml	8999777018719	 68.105 	12	 75.597 	 90.000 
Nivea	Nivea Body	Body Essential	NIVEA Intensive Moisture Body Serum 180ml	8999777000448	 36.070 	24	 40.038 	 46.199 
NIvea	Nivea Body	Body Beauty	NIVEA Extra Bright Care & Protect Body Serum 70ml	4005808713226	 17.860 	48	 19.825 	 22.850 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Care & Protect 8 Super Food SPF15 Body Serum 180ml	4005808713257	 27.800 	24	 30.858 	 37.000 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Repair & Protect SPF50 Body Serum 320ml	8999777018832	 118.660 	12	 131.713 	 160.000 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Radiant & Smooth Body Serum 180ml	8999777009588	 27.450 	24	 30.470 	 37.000 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Instant Glow SPF33 Body Serum 180ml	8999777006990	 41.050 	24	 45.566 	 52.450 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Night Nourish Body Serum 180ml	8999777005320	 37.750 	24	 41.903 	 48.249 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright Anti Age Body Serum 180ml	8999777007058	 43.830 	24	 48.651 	 58.800 
Nivea	Nivea Body	Body Beauty	NIVEA Extra White Hijab Cooling Body Serum 180ml	8999777015725	 27.990 	24	 31.069 	 37.500 
Nivea	Nivea Body	Body Beauty	NIVEA Extra Bright 10 Super Vitamins & Skin Foods Serum in Lotion 180ml	8999777017859	 33.160 	24	 36.808 	 45.000 
